WigleWifi-1.4,appRelease=2.25,model=ASUS_Z01BDC,release=7.1.1,device=Z01B_1,display=NMF26F.WW_user_31.40.13.50_20170807,board=QC_Reference_Phone,brand=asus
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
6c:fd:b9:68:51:fc,Egged.co.il,[ESS],2017-11-08 17:32:11,1,-64,32.07576286,34.84537652,61.57373046875,4.550999641418457,WIFI
14:ae:db:3e:d2:f2,Ron,[WPA2-PSK-CCMP][ESS],2017-11-08 17:32:11,10,-79,32.07576286,34.84537652,61.57373046875,4.550999641418457,WIFI
4e:66:41:6b:56:03,AndroidAP,[ESS],2017-11-08 17:32:11,1,-84,32.07576286,34.84537652,61.57373046875,4.550999641418457,WIFI
e8:74:e6:ff:1b:01,Cellcom-WiFi_8538,[WPA2-PSK-CCMP][ESS],2017-11-08 17:32:11,1,-81,32.07576286,34.84537652,61.57373046875,4.550999641418457,WIFI
bc:f6:85:0e:5d:70,Ergotime,[WPA2-PSK-CCMP][ESS],2017-11-08 17:32:11,6,-85,32.07576286,34.84537652,61.57373046875,4.550999641418457,WIFI
82:2a:a8:b5:d9:be,G_Wifi,[WPA2-PSK-CCMP][ESS],2017-11-08 17:32:11,1,-74,32.07576286,34.84537652,61.57373046875,4.550999641418457,WIFI
14:ae:db:30:fc:42,Partosh,[WPA2-PSK-CCMP][ESS],2017-11-08 17:32:11,10,-83,32.07576286,34.84537652,61.57373046875,4.550999641418457,WIFI
14:af:db:30:fc:42,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-11-08 17:32:11,10,-79,32.07576286,34.84537652,61.57373046875,4.550999641418457,WIFI
10:be:f5:38:d3:1e,yael,[WPA2-PSK-CCMP][ESS],2017-11-08 17:32:11,4,-77,32.07576286,34.84537652,61.57373046875,4.550999641418457,WIFI
e0:ce:c3:19:44:71,Matan-HOT,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-08 17:32:11,6,-85,32.07576286,34.84537652,61.57373046875,4.550999641418457,WIFI
c4:04:15:25:ae:9c,frimet1,[WPA2-PSK-CCMP][WPS][ESS],2017-11-08 17:32:11,4,-86,32.07576286,34.84537652,61.57373046875,4.550999641418457,WIFI
6c:c2:17:55:e6:ce,HP-Print-CE-Officejet Pro 8610,[WPA2-PSK-CCMP][ESS],2017-11-08 17:32:11,5,-82,32.07576286,34.84537652,61.57373046875,4.550999641418457,WIFI
