WigleWifi-1.4,appRelease=2.25,model=ASUS_Z01BDC,release=7.1.1,device=Z01B_1,display=NMF26F.WW_user_31.40.13.50_20170807,board=QC_Reference_Phone,brand=asus
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
8e:f5:a3:f8:cb:06,sss,[WPA2-PSK-CCMP][ESS],2017-11-08 18:21:32,1,-49,32.09239297,34.83371707,29.1658935546875,21.237998962402344,WIFI
00:78:9e:fb:89:28,HOTBOX-12,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-08 18:21:32,11,-87,32.09239297,34.83371707,29.1658935546875,21.237998962402344,WIFI
a0:ab:1b:5b:31:c6,partner,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-08 18:21:32,1,-80,32.09239297,34.83371707,29.1658935546875,21.237998962402344,WIFI
14:ae:db:38:8a:9d,sapir,[WPA2-PSK-CCMP][ESS],2017-11-08 18:21:32,6,-82,32.09239297,34.83371707,29.1658935546875,21.237998962402344,WIFI
a0:ab:1b:5b:33:e2,Motid,[WPA2-PSK-CCMP][ESS],2017-11-08 18:21:32,8,-82,32.09239297,34.83371707,29.1658935546875,21.237998962402344,WIFI
c0:4a:00:d8:ae:8c,lior,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2017-11-08 18:21:32,13,-83,32.09239297,34.83371707,29.1658935546875,21.237998962402344,WIFI
f8:e9:03:12:25:9c,Rubinstein_2.4,[WPA2-PSK-CCMP][ESS],2017-11-08 18:21:32,1,-86,32.09239297,34.83371707,29.1658935546875,21.237998962402344,WIFI
14:ae:db:cd:1b:12,770,[WPA2-PSK-CCMP][ESS],2017-11-08 18:21:32,5,-84,32.09239297,34.83371707,29.1658935546875,21.237998962402344,WIFI
e0:ce:c3:86:9a:7f,shemesh123,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-08 18:21:32,6,-90,32.09239297,34.83371707,29.1658935546875,21.237998962402344,WIFI
b8:a3:86:09:87:cc,simon5,[WPA2-PSK-CCMP][ESS],2017-11-08 18:21:32,1,-88,32.09239297,34.83371707,29.1658935546875,21.237998962402344,WIFI
14:ae:db:bd:d5:2a,ElhanaNet1,[WPA2-PSK-CCMP][ESS],2017-11-08 18:21:32,2,-69,32.09239297,34.83371707,29.1658935546875,21.237998962402344,WIFI
c4:04:15:1c:05:c8,Bezeq-n_05C8,[WPS][ESS],2017-11-08 18:21:32,11,-78,32.09239297,34.83371707,29.1658935546875,21.237998962402344,WIFI
14:af:db:bd:f6:aa,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-11-08 18:21:32,7,-90,32.09239297,34.83371707,29.1658935546875,21.237998962402344,WIFI
14:ae:db:bd:f6:aa,zol-batahna,[WPA2-PSK-CCMP][ESS],2017-11-08 18:21:32,7,-90,32.09239297,34.83371707,29.1658935546875,21.237998962402344,WIFI
42502_51721_4740680,GOLAN T,UNKNOWN;il,2017-11-08 18:21:32,0,-97,32.09239297,34.83371707,29.1658935546875,21.237998962402344,GSM
8e:f5:a3:f8:cb:06,sss,[WPA2-PSK-CCMP][ESS],2017-11-08 18:21:34,1,-43,32.09237079,34.83378403,35.9920654296875,16.687000274658203,WIFI
c4:12:f5:83:df:0c,A.N.A,[WPA2-PSK-CCMP][ESS],2017-11-08 18:21:36,11,-79,32.09236152,34.83377511,36.762939453125,16.687000274658203,WIFI
c0:ac:54:f5:69:aa,HOTBOX-2BE0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-08 18:21:36,6,-84,32.09236152,34.83377511,36.762939453125,16.687000274658203,WIFI
14:af:db:cd:1b:12,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-11-08 18:21:36,5,-86,32.09236152,34.83377511,36.762939453125,16.687000274658203,WIFI
